title,type,release_year,rating,listed_in,description,similarity_score,source_title
Defying the Nazis: The Sharps' War,Movie,2016,TV-14,Documentaries,"This film documents the story of minister Waitstill Sharp and his wife, Martha, who risked everything to save thousands of refugees fleeing the Nazis.",0.17477559,Ghosts of War
The Zookeeper's Wife,Movie,2017,PG-13,Dramas,"When the Nazis invade Poland, Warsaw Zoo caretakers work with the underground resistance to save Jews from the horrors of the Third Reich.",0.17274041,Ghosts of War
Rattlesnake,Movie,2019,TV-MA,"Horror Movies, Independent Movies, Thrillers","After a mysterious woman saves her daughter from a deadly snakebite, a single mother must repay the debt by killing a stranger before sundown.",0.17056465,Ghosts of War
Shaun the Sheep: The Farmer’s Llamas,Movie,2020,TV-Y,"Children & Family Movies, Comedies","A trio of mischievous llamas from the county fair start making a mess of the farm, so Shaun and the flock must find a way to boot out the troublemakers.",0.16523483,Ghosts of War
Silver Spoon,TV Show,2015,TV-MA,"Crime TV Shows, International TV Shows, TV Action & Adventure","Forced to become an apprentice cop, cocky playboy Igor finds he's got a knack for police work. But his job soon takes him down a dark personal path.",0.21049823,Igor
The Brave,Movie,2019,TV-MA,"Action & Adventure, Independent Movies","With entry into the European Union at stake, Albania must rely on a mash-up of elite cops to take down a slippery drug lord dominating its economy.",0.17195782,Igor
Hotel Transylvania 3: Summer Vacation,Movie,2018,PG,"Children & Family Movies, Comedies","It's love at first sight for Dracula when he meets Ericka, the charming but mysterious captain of the monster cruise that Mavis plans for the family.",0.16037035,Igor
Voulez-vous rire avec moi ce soir?,Movie,2018,TV-MA,"Documentaries, International Movies",French humorist Yacine Belhousse tours the world to explore how stand-up comedians make audiences laugh across cultures.,0.15910631,Igor
Horse Girl,Movie,2020,R,"Dramas, Independent Movies","A sweet misfit with a fondness for crafts, horses and supernatural crime shows finds her increasingly lucid dreams trickling into her waking life.",0.15436272,Igor
Russell Peters vs. the World,TV Show,2013,NR,"Docuseries, Stand-Up Comedy & Talk Shows","A four-part docu-series that's an exclusive, backstage pass to global comedy superstar Russell Peters' record-breaking ""Notorious"" world tour.",0.6977868,Russell Peters: Notorious
Russell Peters: Almost Famous,Movie,2016,TV-MA,Stand-Up Comedy,"The comic comes home to Toronto to sound off on cultural quirks, kids' furniture and bathroom visits, reveling in all things ridiculously human.",0.6522258,Russell Peters: Notorious
A Russell Peters Christmas,Movie,2011,NR,Stand-Up Comedy,"Inspired by the variety shows of the 1970s, ""A Russell Peters Christmas"" is a sweet, silly, sentimental and, most of all, funny Christmas special.",0.5458955,Russell Peters: Notorious
Russell Howard: Recalibrate,Movie,2017,TV-MA,Stand-Up Comedy,"Self-deprecating comic Russell Howard plows ahead through politics, porn, social media and his own shortcomings. Yet he somehow keeps it positive.",0.31735343,Russell Peters: Notorious
RUSSELL BRAND: RE:BIRTH,Movie,2018,TV-MA,Stand-Up Comedy,Russell Brand gets loquacious in London as he ruminates on the state of the world and marvels over how his life changed the moment he became a father.,0.3058946,Russell Peters: Notorious
Medium,Movie,1985,TV-MA,"Horror Movies, International Movies, Thrillers","In 1930s Poland, a powerful psychic steers a group of strangers toward a fated convergence that ensures survival for one and annihilation for others.",0.29882926,"Tomasz Jachimek, Jacek Stramik Laugh at Live"
Fanatyk,Movie,2017,TV-MA,"Comedies, Dramas, Independent Movies","As a son deals with his own struggles, he must calm his father's obsession with fishing before his outlandish behavior ruins the entire family.",0.25394765,"Tomasz Jachimek, Jacek Stramik Laugh at Live"
The Hater,Movie,2020,TV-MA,"Dramas, International Movies, Thrillers",A duplicitous young man finds success in the dark world of social media smear tactics — but his virtual vitriol soon has violent real-life consequences.,0.23935412,"Tomasz Jachimek, Jacek Stramik Laugh at Live"
Squared Love,Movie,2021,TV-14,"Comedies, International Movies, Romantic Movies",A celebrity journalist and renowned womanizer starts to rethink his life choices after he falls for a mysterious model who leads a double life.,0.23388995,"Tomasz Jachimek, Jacek Stramik Laugh at Live"
The Stand-Up,Movie,2019,TV-MA,Stand-Up Comedy,Members of the comedy group Na Stojáka take the stage and the mic by storm for a special night of stand-up comedy.,0.23085533,"Tomasz Jachimek, Jacek Stramik Laugh at Live"
Secret Affair,TV Show,2014,TV-14,"International TV Shows, Korean TV Shows, Romantic TV Shows","A married middle-aged woman is swept off her feet, both romantically and artistically, by a gifted young pianist.",0.37810194,Happy And
Persona,TV Show,2019,TV-MA,"International TV Shows, Korean TV Shows, TV Dramas",An exploration of different personas in an eclectic collection of four works by critically acclaimed Korean directors.,0.37298334,Happy And
"Hi Bye, Mama!",TV Show,2020,TV-14,"International TV Shows, Korean TV Shows, Romantic TV Shows","When the ghost of a woman gains a second chance at life for 49 days, she reappears in front of her remarried husband and young daughter.",0.3680873,Happy And
Hymn of Death,TV Show,2018,TV-14,"International TV Shows, Korean TV Shows, Romantic TV Shows","During the Japanese colonial period, married playwright Kim U-jin falls in love with soprano Yun Sim-deok, one of Korea’s notable New Women.",0.36557084,Happy And
The Lady in Dignity,TV Show,2017,TV-MA,"International TV Shows, Korean TV Shows, TV Dramas",The wife of a corporate heir finds her luxurious life overturned by a mysterious woman who joins the household as a caregiver for her father-in-law.,0.36320233,Happy And
Yamla Pagla Deewana 2,Movie,2013,TV-14,"Action & Adventure, Comedies, International Movies","Up to his old tricks, con man Dharam poses as a millionaire to get his younger son married to the daughter of a wealthy businessman.",0.21288313,Soldier
Virsa,Movie,2010,TV-14,"Dramas, International Movies, Music & Musicals",A man is disheartened when he visits his well-to-do son and grandkids in Australia and sees they have detached from their traditional Indian morals.,0.20867656,Soldier
Bir Baba Hindu,Movie,2016,TV-MA,"Action & Adventure, Comedies, International Movies",A Istanbul mobster falls for an Indian yoga instructor whose abduction takes him on a wild rescue mission to Mumbai.,0.20230305,Soldier
Gaddar: the Traitor,Movie,2015,TV-14,"Dramas, International Movies, Thrillers",An Indian man who has become a major business mogul in Canada must return to his homeland where he's reviled due to being wrongly branded a traitor.,0.19341356,Soldier
Dushman,Movie,2017,TV-14,"Dramas, International Movies",An Indian hotel waiter forms an unlikely bond with a Pakistani colleague when the establishment’s criminal owner threatens to ruin both their lives.,0.18597096,Soldier
Bling Empire,TV Show,2021,TV-MA,Reality TV,"Follow LA's wildly wealthy Asian and Asian American fun seekers as they go all out with fabulous parties, glamour and drama in this reality series.",0.33448267,My Unorthodox Life
"Rica, Famosa, Latina",TV Show,2016,TV-MA,"International TV Shows, Reality TV, Spanish-Language TV Shows","This reality series follows the lives of a group of wealthy, successful Latina women in Los Angeles.",0.26736605,My Unorthodox Life
21 Again,TV Show,2019,TV-MA,"British TV Shows, Reality TV","In a social experiment, a group of daughters sends their mothers, disguised as 21-year-olds, into the world to experience life as a member of Gen Z.",0.26259398,My Unorthodox Life
Pet Stars,TV Show,2021,TV-PG,Reality TV,Follow talent management company Pets on Q as they work with the biggest animal influencers on social media in this reality series.,0.25961167,My Unorthodox Life
Diva Brides,TV Show,2017,TV-MA,"British TV Shows, Reality TV","In this reality series, brides-to-be stop at nothing to have their dream weddings despite meager funds, fallouts with friends or even absent grooms.",0.25372484,My Unorthodox Life
Cemara's Family,Movie,2018,TV-G,"Children & Family Movies, Dramas, International Movies","After bankruptcy, Abah and Emak must adapt to a new life with their children in a remote village.",0.3019864,Calico Critters: The Treasure of Calico Village
Calico Critters: A Town of Dreams,Movie,2017,TV-Y,Children & Family Movies,Freya heads into town with her mother for a very special occasion: a dress designed by her sister Stella is going to be in a fashion show!,0.24632755,Calico Critters: The Treasure of Calico Village
Liar's Dice,Movie,2013,TV-MA,"Dramas, Independent Movies, International Movies",A woman from a small mountain village disobeys her village elders and sets out for the big city in search of her missing husband.,0.2339209,Calico Critters: The Treasure of Calico Village
Maynard,Movie,2017,TV-PG,Documentaries,"Friends, family and political titans recall the impact of Atlanta's Maynard Jackson, the first African-American mayor of a major Southern city.",0.1788311,Calico Critters: The Treasure of Calico Village
Upin & Ipin,TV Show,2011,TV-Y,Kids' TV,Two mischievous yet lovable five-year-old twins and their friends enjoy daily life and new discoveries with the residents of their Malaysian village.,0.17638105,Calico Critters: The Treasure of Calico Village
American Beauty,Movie,1999,R,Dramas,"While struggling to endure his tightly wound wife, an unfulfilling job and a surly teen, a man becomes obsessed with one of his daughter's friends.",0.22485009,Ghost Rider
The Bounty Hunter,Movie,2010,PG-13,"Action & Adventure, Comedies, Romantic Movies","Bounty hunter Milo Boyd finds his latest assignment downright satisfying as he learns that the bail-jumper he must chase down is his ex-wife, Nicole.",0.1565735,Ghost Rider
History of Swear Words,TV Show,2021,TV-MA,"Docuseries, TV Comedies","Nicolas Cage hosts this proudly profane, funny and engagingly educational series about the history and impact of the most notorious English swear words.",0.15476452,Ghost Rider
Next,Movie,2007,PG-13,"Action & Adventure, Sci-Fi & Fantasy",Las Vegas magician Cris can see a few minutes into the future and an FBI agent wants his help thwarting a nuclear attack.,0.15304668,Ghost Rider
Knowing,Movie,2009,PG-13,"Sci-Fi & Fantasy, Thrillers",An MIT astrophysics professor and his son unearth a string of numbers from a time capsule that seem to reveal a cataclysm that will wipe out humanity.,0.15072808,Ghost Rider
First They Killed My Father,Movie,2017,TV-MA,Dramas,A 5-year-old girl embarks on a harrowing quest for survival amid the sudden rise and terrifying reign of the Khmer Rouge in Cambodia.,0.2712146,By the Sea
Angelina Ballerina,TV Show,2010,TV-Y,"British TV Shows, Kids' TV","Angelina is crazy about ballet dancing, even though she's a young mouse, and studies hard with a famous teacher to become a prima ballerina.",0.2614921,By the Sea
The Tourist,Movie,2010,PG-13,"Action & Adventure, Romantic Movies",An American tourist seeking solace for his shattered heart instead finds it in danger again after encountering a beautiful Interpol agent.,0.23849782,By the Sea
DreamWorks Kung Fu Panda Awesome Secrets,TV Show,2008,TV-PG,"Kids' TV, TV Action & Adventure, TV Comedies","In this pair of adventures, Po tells the story of how masters Thundering Rhino, Storming Ox and Croc met and takes on Shifu's biggest challenge yet.",0.22293141,By the Sea
Beowulf,Movie,2007,PG-13,"Action & Adventure, Sci-Fi & Fantasy",This deftly animated take on a legendary Old English epic tells the timeless tale of a Scandinavian hero who's known for slaying dragons.,0.20321727,By the Sea
Who Killed Malcolm X?,TV Show,2020,TV-MA,"Crime TV Shows, Docuseries","Decades after the assassination of African American leader Malcolm X, an activist embarks on a complex mission seeking truth in the name of justice.",0.2734,Blood Brothers: Malcolm X & Muhammad Ali
The Brawler,Movie,2019,TV-MA,"Dramas, Independent Movies, Sports Movies","Newly famous after challenging Muhammad Ali for a championship title, boxer Chuck Wepner spirals down the slippery slope of being a celebrity.",0.2349897,Blood Brothers: Malcolm X & Muhammad Ali
Khaani,TV Show,2017,TV-14,"Crime TV Shows, International TV Shows, Romantic TV Shows","After a rich politician's son kills a young woman's brother, an unlikely romantic connection complicates her pursuit of justice.",0.20269062,Blood Brothers: Malcolm X & Muhammad Ali
A Clockwork Orange,Movie,1971,R,"Classic Movies, Cult Movies, Dramas","In this dark satire from director Stanley Kubrick, a young, vicious sociopath in a dystopian England undergoes an experimental rehabilitation therapy.",0.19013713,Blood Brothers: Malcolm X & Muhammad Ali
Under the Bombs,Movie,2007,TV-MA,"Dramas, Independent Movies, International Movies",A mother arrives in war-torn Lebanon looking for her missing son in the South as a cab driver agrees to escort her on her dangerous trip.,0.18793893,Blood Brothers: Malcolm X & Muhammad Ali
Benji: Off the Leash,Movie,2004,PG,"Children & Family Movies, Dramas","Benji is back in this charming story that's told from the pooch's point of view, tracking his early days as a pup to his current life in showbiz.",0.26090544,Madness in the Desert
Taare Zameen Par,Movie,2007,PG,"Dramas, International Movies","When daydreamer Ishaan is sent to boarding school, an unconventional art teacher tries to help the imaginative student discover his true identity.",0.19927108,Madness in the Desert
Making Unorthodox,Movie,2020,TV-G,"Documentaries, International Movies",A look at the making of one of the first series to authentically portray and explore issues in a Hasidic community as they pertain to women's lives.,0.18727113,Madness in the Desert
Unbroken,Movie,2019,TV-14,"Documentaries, International Movies","After the brutal murders of their loved ones, three individuals share how they healed through forgiveness in this documentary presented by Aamir Khan.",0.18332069,Madness in the Desert
PK,Movie,2014,TV-14,"Comedies, Dramas, International Movies",Aamir Khan teams with director Rajkumar Hirani to play a social crusader in a political satire on the state of corruption in India.,0.17568132,Madness in the Desert
Kay Dyache Bola,Movie,2005,TV-14,"Comedies, Dramas, International Movies","Wrongfully accused of murder, two students' last hope lies with their defense attorney, an inexperienced bumbler who's never even tried a case.",0.19550845,Killa
Mauli,Movie,2018,TV-14,"Action & Adventure, Dramas, International Movies",An unconventional police officer faces off against a gang of thugs as he tries to bring order to the far-flung village he’s been stationed in.,0.18743066,Killa
Badha,Movie,2006,TV-14,"Dramas, International Movies",A young woman who is suspected of practicing black magic and witchcraft is demonized and forced to live apart from her family.,0.16909099,Killa
Siddhant,Movie,2014,TV-G,"Dramas, Independent Movies, International Movies",A principled mathematics teacher is shocked to discover that his grandson used unethical means to achieve academic success.,0.1561907,Killa
Kanavu Variyam,Movie,2017,TV-PG,"Comedies, Dramas, International Movies","Despite doubts from fellow villagers who think he’s crazy, an ambitious dropout commits himself to solving a persistent local electricity crisis.",0.15608639,Killa
Ricardo O'Farrill: Abrazo navideño,Movie,2016,TV-MA,Stand-Up Comedy,"The expressive Ricardo O'Farrill uses his astute comedic sensibilities to tease Christmas traditions, and not even Santa Claus escapes unscathed.",0.58633274,Ricardo O'Farrill Abrazo Genial
Ricardo Quevedo: Hay gente así,Movie,2018,TV-MA,Stand-Up Comedy,"Droll comic Ricardo Quevedo hits Bogotá with a set that touches on embarrassing misunderstandings, sex talk, the thrill of being scared and more.",0.55005693,Ricardo O'Farrill Abrazo Genial
Ricardo Quevedo: Los amargados somos más,Movie,2019,TV-MA,Stand-Up Comedy,"From how social media can ruin relationships to the perils of buying a gift for a woman, comic Ricardo Quevedo dissects life's trials and tribulations.",0.37252545,Ricardo O'Farrill Abrazo Genial
Carlos Ballarta: Furia Ñera,Movie,2018,TV-MA,Stand-Up Comedy,Mexican comic Carlos Ballarta mocks himself and points out the absurdities of parenthood and how he uses his wife's pregnancies to avoid commitments.,0.34303793,Ricardo O'Farrill Abrazo Genial
Jani Dueñas: Grandes fracasos de ayer y hoy,Movie,2018,TV-MA,Stand-Up Comedy,"Chilean comedian and personality Jani Dueñas pours out her feelings on issues that are all too universal, from aging to dieting to sex.",0.34210512,Ricardo O'Farrill Abrazo Genial
Korean Cold Noodle Rhapsody,TV Show,2021,TV-PG,"Docuseries, International TV Shows","Refreshing and flavorful, naengmyeon is Korea's coolest summertime staple. A journey through its history begins, from how it's cooked to how it's loved.",0.3835437,Korean Pork Belly Rhapsody
Age of Tanks,TV Show,2017,TV-PG,"Docuseries, International TV Shows, Science & Nature TV",The history of military tanks unfolds in a documentary series that traces their role in history and geopolitics from World War I to the 21st century.,0.28369895,Korean Pork Belly Rhapsody
Revolutionary Love,TV Show,2017,TV-MA,"International TV Shows, Korean TV Shows, Romantic TV Shows",A third-generation chaebol falls in love with a woman who opens his eyes to the struggles of the working class and inspires him to make a difference.,0.269565,Korean Pork Belly Rhapsody
Love for Ten: Generation of Youth,TV Show,2013,TV-14,"International TV Shows, Korean TV Shows, Romantic TV Shows","A nerdy engineering student falls for a pretty, outgoing girl at his college. To get closer to her, he joins the theater group she belongs to.",0.22914712,Korean Pork Belly Rhapsody
Reply 1997,TV Show,2012,TV-MA,"International TV Shows, Korean TV Shows, Romantic TV Shows","As a teen, Shi Won was obsessed with a boy band. Now 33 years old, Shi Won and her friends are reviving their memories as their school reunion nears.",0.22333884,Korean Pork Belly Rhapsody
How to Be a Cowboy,TV Show,2021,TV-PG,Reality TV,"Dale Brisby uses social media savvy and rodeo skills to keep cowboy traditions alive — and now he's teaching the world how to cowboy right, ol' son.",0.20397036,Concrete Cowboy
Deaf U,TV Show,2020,TV-MA,Docuseries,"In this reality series, a tight-knit group of Deaf and hard of hearing students share their stories and explore life at Gallaudet University.",0.17805794,Concrete Cowboy
Pekak,Movie,2016,TV-MA,"Dramas, International Movies","Desperate to escape her tyrannical father, a rebellious teen befriends a deaf drug pusher who's saving up his money for cochlear implants.",0.15282796,Concrete Cowboy
Outside the Wire,Movie,2021,R,Action & Adventure,"In the near future, a drone pilot sent into a war zone finds himself paired with a top-secret android officer on a mission to stop a nuclear attack.",0.14502692,Concrete Cowboy
Quigley Down Under,Movie,1990,PG-13,Action & Adventure,"After traveling to Australia for a job, a sharpshooting cowboy becomes a target himself when he refuses an immoral assignment from a corrupt landowner.",0.13922597,Concrete Cowboy
Jaws: The Revenge,Movie,1987,PG-13,"Action & Adventure, Horror Movies, Thrillers","After another deadly shark attack, Ellen Brody has had enough of Amity Island and moves to the Caribbean – but a great white shark follows her there.",0.15890114,We Belong Together
Her Only Choice,Movie,2018,TV-14,Dramas,A woman must decide if she’s willing to end her pregnancy to save her own life after being diagnosed with breast cancer.,0.14799398,We Belong Together
Neal Brennan: 3 Mics,Movie,2017,TV-MA,Stand-Up Comedy,"Wicked one-liners and soul-baring confessions converge in this uniquely intimate stand-up special from ""Chappelle's Show"" co-creator Neal Brennan.",0.13459745,We Belong Together
Love Dot Com: The Social Experiment,Movie,2019,TV-MA,"Comedies, Romantic Movies","Sparks fly and romance blooms when Shelby, a vegan chef, meets Greg, a developer – until their opposing views clash.",0.13270865,We Belong Together
Hustle & Flow,Movie,2005,R,"Dramas, Independent Movies, Music & Musicals",A pimp with aspirations of grandeur wants to make it as a rapper but discovers that fame isn't all it's cracked up to be in this indie drama.,0.12898445,We Belong Together
Highway,Movie,2014,TV-14,"Action & Adventure, Dramas, International Movies","City girl Veera is kidnapped on the eve of her wedding, but as her captors take her through the countryside, Veera finds herself feeling emancipated.",0.24661794,Humpty Sharma Ki Dulhania
Wrong Side Raju,Movie,2016,TV-MA,"Dramas, International Movies",The life of a chauffeur and part-time bootlegger takes a turn toward the dramatic when a girl approaches him to buy illicit alcohol.,0.22364113,Humpty Sharma Ki Dulhania
Delhi Crime,TV Show,2019,TV-MA,"Crime TV Shows, International TV Shows, TV Dramas","As Delhi reels in the aftermath of a gang rape, DCP Vartika Chaturvedi leads a painstaking search for the culprits. Based on the 2012 Nirbhaya case.",0.19816837,Humpty Sharma Ki Dulhania
Macchli Jal Ki Rani Hai,Movie,2014,TV-MA,"Horror Movies, International Movies","After relocating to a different town with her husband, a housewife begins to sense the existence of a mysterious presence in their new house.",0.18738408,Humpty Sharma Ki Dulhania
Sigaram Thodu,Movie,2014,TV-14,"Dramas, International Movies, Thrillers",A policeman's son overcomes his reluctance to join the force following a brutal attack on his father and ends up in the middle of a robbery case.,0.18657061,Humpty Sharma Ki Dulhania
Everybody Knows,Movie,2019,R,"Dramas, International Movies, Thrillers","Journeying back to her small Spanish hometown for her sister's wedding, Laura must grapple with long-buried secrets when her daughter is abducted.",0.25721955,Sunday's Illness
Errementari: The Blacksmith and the Devil,Movie,2018,TV-MA,"Horror Movies, International Movies, Sci-Fi & Fantasy","A brutal blacksmith tortures a demon he blames for his misery, unaware a trespassing orphan is about to change everything. Based on Basque folklore.",0.20633066,Sunday's Illness
Growing up and other problems,Movie,2018,TV-14,"Comedies, Dramas, International Movies",A 30-something woman without a steady partner or income samples stability when her pregnant best friend asks her to be the godmother of her child.,0.19538563,Sunday's Illness
A Sort of Family,Movie,2017,TV-14,"Dramas, International Movies, Thrillers",An Argentine doctor faces legal and ethical challenges when she travels to the countryside to pick up the infant she has been waiting to adopt.,0.17961483,Sunday's Illness
10 Days in Sun City,Movie,2017,TV-14,"Comedies, International Movies, Romantic Movies","After his girlfriend wins the Miss Nigeria pageant, a young man faces unexpected competition of his own when he joins her on a campaign in South Africa.",0.176516,Sunday's Illness
The Sniffer,TV Show,2017,TV-MA,"Crime TV Shows, International TV Shows, TV Dramas","An extraordinary sense of smell gives a crime investigator unique insight into solving mysteries, but his gift takes a toll on his personal life.",0.24462192,Inspector Gadget
Jack Taylor,TV Show,2016,TV-MA,"Crime TV Shows, International TV Shows, TV Dramas",Ken Bruen's bestselling crime novels leap to life in this series of TV movies featuring Irish cop-turned-private-investigator Jack Taylor.,0.21917987,Inspector Gadget
The Method,TV Show,2015,TV-MA,"Crime TV Shows, International TV Shows, TV Dramas",An ambitious young law enforcement graduate is thrilled when her idol takes her on as a trainee. But his methods aren't anything like she imagined.,0.21432883,Inspector Gadget
Murder Among the Mormons,TV Show,2021,TV-14,"Crime TV Shows, Docuseries",High-stakes exploits turn deadly — and shake a global church to its core — in this extraordinary true crime story.,0.19792572,Inspector Gadget
Elize Matsunaga: Once Upon a Crime,TV Show,2021,TV-MA,"Crime TV Shows, Docuseries, International TV Shows","The crime shocked Brazil: Elize Matsunaga shot and dismembered her rich husband. Featuring her first interview, this docuseries dives deep into the case.",0.19363186,Inspector Gadget
